QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962571,Partido 72,Cargar los puntos del partido 72,http://uqr.to/1rhxn,url,https://torneo.sejama.com.ar/partido/72/editar,https://app.qrcodekit.com/qrs/2962571.png,https://app.qrcodekit.com/qrs/2962571.svg
2962570,Partido 71,Cargar los puntos del partido 71,http://uqr.to/1rhxm,url,https://torneo.sejama.com.ar/partido/71/editar,https://app.qrcodekit.com/qrs/2962570.png,https://app.qrcodekit.com/qrs/2962570.svg
2962569,Partido 70,Cargar los puntos del partido 70,http://uqr.to/1rhxl,url,https://torneo.sejama.com.ar/partido/70/editar,https://app.qrcodekit.com/qrs/2962569.png,https://app.qrcodekit.com/qrs/2962569.svg
2962568,Partido 69,Cargar los puntos del partido 69,http://uqr.to/1rhxk,url,https://torneo.sejama.com.ar/partido/69/editar,https://app.qrcodekit.com/qrs/2962568.png,https://app.qrcodekit.com/qrs/2962568.svg
2962567,Partido 68,Cargar los puntos del partido 68,http://uqr.to/1rhxj,url,https://torneo.sejama.com.ar/partido/68/editar,https://app.qrcodekit.com/qrs/2962567.png,https://app.qrcodekit.com/qrs/2962567.svg
2962566,Partido 67,Cargar los puntos del partido 67,http://uqr.to/1rhxi,url,https://torneo.sejama.com.ar/partido/67/editar,https://app.qrcodekit.com/qrs/2962566.png,https://app.qrcodekit.com/qrs/2962566.svg
2962565,Partido 66,Cargar los puntos del partido 66,http://uqr.to/1rhxh,url,https://torneo.sejama.com.ar/partido/66/editar,https://app.qrcodekit.com/qrs/2962565.png,https://app.qrcodekit.com/qrs/2962565.svg
2962564,Partido 65,Cargar los puntos del partido 65,http://uqr.to/1rhxg,url,https://torneo.sejama.com.ar/partido/65/editar,https://app.qrcodekit.com/qrs/2962564.png,https://app.qrcodekit.com/qrs/2962564.svg
2962563,Partido 64,Cargar los puntos del partido 64,http://uqr.to/1rhxf,url,https://torneo.sejama.com.ar/partido/64/editar,https://app.qrcodekit.com/qrs/2962563.png,https://app.qrcodekit.com/qrs/2962563.svg
2962562,Partido 63,Cargar los puntos del partido 63,http://uqr.to/1rhxe,url,https://torneo.sejama.com.ar/partido/63/editar,https://app.qrcodekit.com/qrs/2962562.png,https://app.qrcodekit.com/qrs/2962562.svg
2962561,Partido 62,Cargar los puntos del partido 62,http://uqr.to/1rhxd,url,https://torneo.sejama.com.ar/partido/62/editar,https://app.qrcodekit.com/qrs/2962561.png,https://app.qrcodekit.com/qrs/2962561.svg
